,날짜,리뷰,평점
147,2020.06.07 04:24,열쇠만드는 게 직업이신 분이 분명하다 심장 쪼그라들뻔,10
148,2020.06.07 01:18,오랜만에 영화다운 영화를 본 느낌,9
149,2020.06.06 22:29,영화 보는 내내 그 현장에 잇엇던거 같앗어요. 해리포터가 생각이 안나는 다니엘의 연기 잘봣습니다 !,10
150,2020.06.06 21:23,보는 내내 발각될까봐 심장을 부여잡고 봤네요..영화 내내 긴장감 스릴 넘 최고였습니다..그 탈출은 그당시나 가능하지 않았나 싶네요..cctv 나 전자열쇠가 없었던 시절이 그들에겐 행운이 아나였나 싶어요..너무 잘봤습니다~~^^☆ ,10
151,2020.06.06 14:54,긴장감이 최고다. 11년사냐 36년 사냐 선택을 어떻게 해ㅋㅋㅋ 간수들은 진짜 허술함,7
152,2020.06.06 02:57,영화 마지막 20분은 심장이 너무 뛰어서 숨이 찻다는. 그럼 뭐하나 그런 처절한 역사에도 불구하고 요즘 다시 벌어지는 인종차별 상황을 보면 끝나지 않는 전쟁인건지 안타까울 뿐이다.,9
153,2020.06.06 01:50,영화 흐름과 상황에 몰입할 수 있다면 정말 식은땀이 날 정도로 쫄깃합니다.,10
154,2020.06.05 20:03,이거보고 수명이 10년 단축 되었습니다 날 죽여라 차라리,10
155,2020.06.05 18:06,생각보다 긴장감과 완성도가 놓다,7
156,2020.06.04 23:27,끝까지 긴장감을 놓칠 수 없는 영화...,10
157,2020.06.04 22:12,와 그냥 말 할 필요가 없음 개꿀 무조건 보세요 와 개쩐다,10
158,2020.06.04 16:33,,6
159,2020.06.04 16:27,"7.7 어제 봤던 작품, 실화를 배경으로해서인지 다른 탈출영화들과는 다른 긴장감을 일으킨다 쇼생크탈출과 같은 작품, 남아프리카의 인종차별 역사를 알고 본다면 좀 더 재미있고 알차게 볼 수 있는 영화, 해리포터도 잘 컸고 연기도 뛰어났다,  열쇠하나로 심장쪼들리게 하는 영화는 정말 처음이었다 킬링타임용으로 제격 그러나 너무 많이 기대는하지말길 ",7
160,2020.06.04 01:46,스릴이 최고 보다가 후회했음  숨도 자꾸 참게되고 우와 쫄려서.,10
161,2020.06.04 01:16,와 탈출물 이렇게 재밌게본거 없는데ㅋㅋㅋ 재밌다,10
162,2020.06.03 17:06,평점남기는거 처음인데 개인적으로 재밌게 봤고... 대단 한거같아요 ㅠㅠㅠ 배우들이 연기를 잘해서 몰입 쩔었...,10
163,2020.06.03 11:30,보는내내 손에땀을쥐게함 너무재밌게본영화,10
164,2020.06.03 10:22,내스타일이..아니어서..죄송합니다.. 재미가..없어요..,5
165,2020.06.02 23:30,영화보면서 팝콘 먹다가 체한적은 처음이네요..엄청 쫄립니다..,10
166,2020.05.31 21:53,12세관람가가. 재미있네요^^,8
167,2020.05.31 19:28,실화 바탕이라고 해서 호기심에 보러간 프리즌 이스케이프. 나무로 열쇠 만들어서 감옥 탈출 너무 재미나게 봄,10
168,2020.05.28 21:46,긴장감 실화냐????,9
169,2020.05.28 00:42,"한마디로 정리하자면 ""지혼자만 긴박한 주인공과 멍청한 간수들"". 긴장감을 조여오는 음악과 긴박한 주인공까지는 좋다. 그런데 교도관들 행동을 보면 너무 멍청해서 긴장감이 확 사라진다. 상황자체도 긴박하...",6
170,2020.05.27 19:42,실화 바탕 영화라 스토리는 기막힌 반전이나 특이한 것이 없는데... 좋은 연출과 연기로 관객까지 심쫄하게 만드는 몰입감의 맛이 괜찮다.,7
171,2020.05.26 19:52,평점 처음 남김 보는 내내 심장이 쫄려서 죽는 줄 알았음,8
172,2020.05.25 20:57,훌륭한 연출 그 자체인 영화. 잔가지를 최대한 쳐내려 노력한게 보일 정도로 흥미있는 영화입니다. 배우들의 연기도 강약조절이 잘 되어있어  좋았습니다. 이 정도 수준의 작품을 첫 작품으로 만들었다는게 정말 놀랍습니다. ,8
173,2020.05.25 11:29,"해리포터 형님 연기가 너무 좋았어요 긴장에 덜덜 떠는 모습,...    무서워 죽겠지만 억지로 태연한척 의연한척 하는 모습도 자연스럽고,...    영화 구성도 과하지 않고,...      물론 영화기 때문에 중간 중간 언뜻 보기에 실화라고 보기에는 무리가 있어보이는 내용도 좀 있었지만,...   또 어떻게 보면 영화보다 더 영화 같은 일도 있는게 현실이라고 생가하니 납득이 가기도 합니다....      감옥에 갇힌 절망감,...     나가고 싶은 간절함도,.. 어느정도 잘 표현되었고,     비슷 비슷한 장면들이 겹치는 부분이 많지만,...   중간 중간   긴장 요소도    적절하게 잘 배치했다고 봅니다....     다니엘 레드클리프 형님이   캐리한    재밌는 영화였습니다. ",8
174,2020.05.25 04:06,OOO재밌는데 심장쫄리고 왜 평점이 9점이상이 아님???ㅋㅋㅋ,10
175,2020.05.25 02:19,가슴 졸이며 봤다 아그들아~,9
176,2020.05.24 18:54,오랫만에 잘봄....,8
177,2020.05.24 17:20,결말이 뻔함에도 쫄깃쫄깃,8
178,2020.05.23 20:31,긴장감 넘치는 탈출 스릴을 즐겨보고 싶다면 이 영화를 선택하는데 망설일 필요가 없다.,9
179,2020.05.23 00:37,재밌게 봤어요~보고나니 이후에 주인공들이 어떻게 움직이고 행동했는지 후속편이 나왔으면 좋겠어요~~,8
180,2020.05.20 18:38,스릴넘치는 긴장감 숨도못쉬어요,10
181,2020.05.20 13:00,생각보다 흥미진진 손에땀을쥐게함,9
